time (μs),ω_guess (π/sec),ω_opt (π/sec)
0.000000,0.000000,0.000000
0.150000,0.000139,0.000139
0.300000,0.000524,0.000529
0.450000,0.001141,0.001159
0.600000,0.002005,0.002059
0.750000,0.003115,0.003243
0.900000,0.004472,0.004732
1.050000,0.006076,0.006553
1.200000,0.007926,0.008735
1.350000,0.010023,0.011314
1.500000,0.012367,0.014331
1.650000,0.014957,0.017832
1.800000,0.017794,0.021867
1.950000,0.020877,0.026494
2.100000,0.024207,0.031776
2.250000,0.027784,0.037782
2.400000,0.031607,0.044587
2.550000,0.035676,0.052272
2.700000,0.039992,0.060928
2.850000,0.044554,0.070651
3.000000,0.049363,0.081545
3.150000,0.054417,0.093721
3.300000,0.059718,0.107301
3.450000,0.065265,0.122414
3.600000,0.071058,0.139198
3.750000,0.077097,0.157801
3.900000,0.083383,0.178381
4.050000,0.089914,0.201108
4.200000,0.096690,0.226160
4.350000,0.103713,0.253729
4.500000,0.110982,0.284018
4.650000,0.118496,0.317241
4.800000,0.126255,0.353626
4.950000,0.134260,0.393416
5.100000,0.142511,0.436865
5.250000,0.151007,0.484242
5.400000,0.159748,0.535832
5.550000,0.168734,0.591935
5.700000,0.177966,0.652864
5.850000,0.187442,0.718953
6.000000,0.197163,0.790548
6.150000,0.207129,0.868015
6.300000,0.217340,0.951736
6.450000,0.227795,1.042113
6.600000,0.238495,1.139563
6.750000,0.249439,1.244525
6.900000,0.260628,1.357454
7.050000,0.272060,1.478828
7.200000,0.283737,1.609140
7.350000,0.295658,1.748908
7.500000,0.307822,1.898666
7.650000,0.320230,2.058970
7.800000,0.332882,2.230397
7.950000,0.345777,2.413543
8.100000,0.358916,2.609025
8.250000,0.372297,2.817482
8.400000,0.385922,3.039572
8.550000,0.399790,3.275973
8.700000,0.413900,3.527385
8.850000,0.428253,3.794526
9.000000,0.442849,4.078136
9.150000,0.457687,4.378972
9.300000,0.472767,4.697812
9.450000,0.488090,5.035450
9.600000,0.503654,5.392701
9.750000,0.519460,5.770395
9.900000,0.535508,6.169379
10.050000,0.551797,6.590517
10.200000,0.568327,7.034685
10.350000,0.585099,7.502777
10.500000,0.602111,7.995696
10.650000,0.619364,8.514361
10.800000,0.636858,9.059697
10.950000,0.654593,9.632642
11.100000,0.672567,10.234141
11.250000,0.690782,10.865145
11.400000,0.709237,11.526612
11.550000,0.727931,12.219502
11.700000,0.746865,12.944776
11.850000,0.766038,13.703398
12.000000,0.785451,14.496329
12.150000,0.805102,15.324525
12.300000,0.824993,16.188940
12.450000,0.845122,17.090516
12.600000,0.865489,18.030190
12.750000,0.886094,19.008885
12.900000,0.906938,20.027510
13.050000,0.928019,21.086957
13.200000,0.949338,22.188102
13.350000,0.970894,23.331798
13.500000,0.992687,24.518876
13.650000,1.014718,25.750139
13.800000,1.036985,27.026365
13.950000,1.059488,28.348298
14.100000,1.082228,29.716651
14.250000,1.105204,31.132100
14.400000,1.128416,32.595284
14.550000,1.151863,34.106797
14.700000,1.175546,35.667195
14.850000,1.199464,37.276983
15.000000,1.223616,38.936620
15.150000,1.248004,40.646512
15.300000,1.272626,42.407014
15.450000,1.297482,44.218421
15.600000,1.322572,46.080973
15.750000,1.347895,47.994845
15.900000,1.373452,49.960153
16.050000,1.399243,51.976944
16.200000,1.425266,54.045198
16.350000,1.451522,56.164826
16.500000,1.478010,58.335668
16.650000,1.504730,60.557487
16.800000,1.531683,62.829972
16.950000,1.558866,65.152737
17.100000,1.586282,67.525313
17.250000,1.613928,69.947153
17.400000,1.641805,72.417628
17.550000,1.669913,74.936027
17.700000,1.698251,77.501553
17.850000,1.726819,80.113325
18.000000,1.755617,82.770378
18.150000,1.784644,85.471659
18.300000,1.813900,88.216028
18.450000,1.843385,91.002261
18.600000,1.873098,93.829044
18.750000,1.903040,96.694978
18.900000,1.933210,99.598577
19.050000,1.963607,102.538270
19.200000,1.994232,105.512398
19.350000,2.025084,108.519222
19.500000,2.056163,111.556915
19.650000,2.087468,114.623570
19.800000,2.118999,117.717201
19.950000,2.150756,120.835739
20.100000,2.182738,123.977042
20.250000,2.214946,127.138889
20.400000,2.247379,130.318990
20.550000,2.280036,133.514981
20.700000,2.312917,136.724433
20.850000,2.346023,139.944848
21.000000,2.379352,143.173671
21.150000,2.412904,146.408284
21.300000,2.446679,149.646014
21.450000,2.480677,152.884138
21.600000,2.514896,156.119882
21.750000,2.549338,159.350429
21.900000,2.584002,162.572919
22.050000,2.618886,165.784459
22.200000,2.653992,168.982119
22.350000,2.689318,172.162945
22.500000,2.724864,175.323958
22.650000,2.760631,178.462158
22.800000,2.796616,181.574533
22.950000,2.832821,184.658060
23.100000,2.869245,187.709713
23.250000,2.905887,190.726464
23.400000,2.942747,193.705292
23.550000,2.979824,196.643183
23.700000,3.017119,199.537142
23.850000,3.054631,202.384191
24.000000,3.092360,205.181379
24.150000,3.130305,207.925783
24.300000,3.168466,210.614518
24.450000,3.206842,213.244737
24.600000,3.245433,215.813640
24.750000,3.284239,218.318475
24.900000,3.323259,220.756548
25.050000,3.362493,223.125220
25.200000,3.401941,225.421921
25.350000,3.441602,227.644148
25.500000,3.481476,229.789472
25.650000,3.521562,231.855540
25.800000,3.561860,233.840083
25.950000,3.602370,235.740918
26.100000,3.643091,237.555950
26.250000,3.684022,239.283181
26.400000,3.725164,240.920707
26.550000,3.766516,242.466728
26.700000,3.808078,243.919545
26.850000,3.849848,245.277568
27.000000,3.891828,246.539317
27.150000,3.934016,247.703422
27.300000,3.976411,248.768630
27.450000,4.019015,249.733806
27.600000,4.061825,250.597932
27.750000,4.104842,251.360111
